video_file,brand,frame_path,frame_index,timestamp_s,is_shot_cut,pixel_diff,width,height,brightness,contrast,saturation,sharpness,warm_cool_bias,colourfulness,edge_density,visual_balance,figure_ground_sep,ocr_text,ocr_char_len,nf_neg,nf_neu,nf_pos,nf_compound,nf_label,blip_caption,obj_bus,obj_person,obj_truck,obj_car,obj_all,hl_bus_exterior,hl_bus_exterior_flag,hl_bus_interior,hl_bus_interior_flag,hl_charging_infra,hl_charging_infra_flag,hl_fleet_scale,hl_fleet_scale_flag,hl_govt_ceremony,hl_govt_ceremony_flag,hl_tech_showcase,hl_tech_showcase_flag,hl_passenger_comfort,hl_passenger_comfort_flag,hl_operational_proof,hl_operational_proof_flag,hl_brand_marketing,hl_brand_marketing_flag,theme_technology,theme_technology_flag,theme_comfort,theme_comfort_flag,theme_sustainability,theme_sustainability_flag,theme_reliability,theme_reliability_flag,theme_safety,theme_safety_flag,pxy_trust,pxy_modernity,pxy_comfort,pxy_sustainability,pxy_operational_scale,pxy_visual_production,hl_setting,hl_setting_conf,meta_video_file,meta_brand,meta_fps,meta_total_frames,meta_width,meta_height,meta_resolution,meta_duration_seconds,meta_duration_minutes,meta_file_size_mb,meta_aspect_ratio
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000000.jpg,0,0.0,False,0.0,640,360,134.69,36.61,36.82,455.12,0.031,25.62,0.0761,0.966,0.549,,0,,,,,no_text,an aerial view of a farm with a large field,0,0,0,0,{},0.01,False,0.001,False,0.8,True,0.378,False,0.734,True,0.318,False,0.28,False,0.977,True,0.452,False,0.965,True,0.101,False,0.93,True,0.465,False,0.256,False,98.0,48.3,15.2,43.5,85.4,27.7,depot_yard,0.796,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000030.jpg,1,1.0,False,21.815,640,360,136.51,35.59,34.87,253.49,0.028,24.79,0.0696,0.995,0.556,,0,,,,,no_text,a large field with a large building in the middle,0,0,0,0,{},0.016,False,0.0,False,0.603,True,0.163,False,0.384,False,0.164,False,0.202,False,0.981,True,0.457,False,0.925,True,0.097,False,0.901,True,0.347,False,0.214,False,97.5,35.9,25.7,20.7,92.6,11.4,depot_yard,0.635,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000060.jpg,2,2.0,False,21.674,640,360,137.98,35.13,33.93,231.34,0.024,24.14,0.0657,0.971,0.561,,0,,,,,no_text,an aerial view of a farm in the countryside,0,0,0,0,{},0.003,False,0.0,False,0.567,True,0.073,False,0.515,True,0.107,False,0.19,False,0.993,True,0.458,False,0.949,True,0.277,False,0.917,True,0.3,False,0.528,True,97.9,19.2,36.0,2.0,94.6,11.0,depot_yard,0.785,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000090.jpg,3,3.0,True,60.981,640,360,133.72,66.74,63.29,207.05,-0.067,32.28,0.0509,0.809,0.598,,0,,,,,no_text,several buses parked in a row on the side of the road,5,0,0,0,"{""bus"": 5}",0.926,True,0.704,True,0.296,False,0.995,True,0.926,True,0.854,True,0.906,True,1.0,True,1.0,True,0.906,True,0.999,True,0.967,True,0.766,True,0.968,True,92.1,86.4,67.7,91.4,88.5,72.9,depot_yard,0.994,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000120.jpg,4,4.0,False,20.6,640,360,133.43,66.82,61.33,264.09,-0.06,31.59,0.0547,0.809,0.627,,0,,,,,no_text,several buses parked in a row on the side of the road,6,0,0,0,"{""bus"": 6}",0.88,True,0.553,True,0.454,False,0.999,True,0.967,True,0.927,True,0.878,True,1.0,True,1.0,True,0.928,True,0.998,True,0.983,True,0.866,True,0.98,True,94.8,91.5,55.9,93.6,84.8,87.2,depot_yard,0.995,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000150.jpg,5,5.0,False,15.216,640,360,133.98,67.26,60.42,195.47,-0.058,31.41,0.051,0.827,0.645,,0,,,,,no_text,several buses parked in a row on the side of the road,6,0,0,0,"{""bus"": 6}",0.89,True,0.634,True,0.41,False,0.999,True,0.946,True,0.894,True,0.882,True,1.0,True,1.0,True,0.923,True,0.999,True,0.983,True,0.845,True,0.967,True,93.5,84.9,45.1,97.2,77.6,90.1,depot_yard,0.996,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000180.jpg,6,6.0,True,60.533,640,360,144.25,60.98,71.37,488.88,-0.075,55.61,0.0693,0.872,0.678,,0,,,,,no_text,a row of blue buses parked in a parking,4,0,2,0,"{""bus"": 4, ""truck"": 2}",0.905,True,0.476,False,0.168,False,0.999,True,0.858,True,0.92,True,0.727,True,1.0,True,1.0,True,0.938,True,0.992,True,0.995,True,0.918,True,0.958,True,88.8,74.3,42.7,78.4,62.0,95.0,depot_yard,0.985,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000210.jpg,7,7.0,False,26.468,640,360,144.22,62.21,68.47,382.94,-0.066,50.47,0.0665,0.882,0.702,,0,,,,,no_text,a row of buses parked in a parking,3,0,0,0,"{""bus"": 3}",0.804,True,0.185,False,0.117,False,0.997,True,0.819,True,0.93,True,0.525,True,1.0,True,1.0,True,0.904,True,0.998,True,0.995,True,0.846,True,0.958,True,92.0,69.4,62.9,66.5,71.4,89.7,depot_yard,0.971,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000240.jpg,8,8.0,True,53.29,640,360,119.1,56.35,63.73,545.73,-0.031,47.52,0.0937,0.972,0.382,,0,,,,,no_text,a bus is on the side of the road,1,0,0,0,"{""bus"": 1}",0.978,True,0.279,False,0.131,False,0.04,False,0.13,False,0.235,False,0.582,True,1.0,True,1.0,True,0.395,False,0.582,True,0.942,True,0.713,True,0.087,False,70.8,24.6,28.1,28.7,93.8,17.1,depot_yard,0.955,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
tata.mp4,TATA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/tata/frame_000270.jpg,9,9.0,False,20.663,640,360,120.34,58.79,64.54,519.33,-0.036,47.94,0.0914,0.96,0.407,,0,,,,,no_text,a bus is parked on the side of the road,1,0,0,0,"{""bus"": 1}",0.991,True,0.639,True,0.058,False,0.115,False,0.109,False,0.417,False,0.816,True,1.0,True,0.999,True,0.741,True,0.952,True,0.938,True,0.628,True,0.134,False,66.3,54.9,27.5,73.9,95.4,29.0,depot_yard,0.977,tata.mp4,TATA,29.97,13716,640,360,640x360,457.66,7.63,18.79,1.778
