topic_id,provisional_topic_label,representative_rank,comment_id,dominant_topic_probability,raw_text,sentiment_label,vader_compound,lifecycle_stage_final,entity_name_canonical,final_topic_label
0,Topic 0: buses / like / india,1,c_03c4d25dec2605b7f00f,0.9919050931930542,"Countries like Singapore, Dubai, and many European countries still don't have electric bus like what India has. I was surprised why the government is making such foolish decision, but thanks to this video, which explains that risk is with the operator not with the government. I personally feel that Askok Layland CNG buses are probably best and most economical solution in today's date.  A developing country like India should focus on quantity then quality. We will be able to buy 3 CNG buses in price of 1 electric bus. instade of buying these 3 buses buy 2 and saved additional cost will go towards additional running cost. Due to this we will have 2 buses on road instade of 1.",Positive,0.9671,post_use,General/Industry,Public Transport Economics & Government Operating Models
0,Topic 0: buses / like / india,2,c_d5a85b1b26251b961f4d,0.9919049739837646,"Why do you raise suspecisions about what may happen to these companies after 7 years?  Meanwhile, people and taxpayers are benefitting with this model.  Indians always want to live in status quo, no matter if it require suffering.  China started 15 years ago, India is starting just now. So why are you cribbing about Indian governments are not buying buses directly and rather renting them.  It is so because we are smart and know how to stretch our  money for solving problems. Using words like Poker game randomly without any logic, facts or sense, YOU ARE TRYING CREATE sensationalism without having any  understaing of economics, finance, project management, and realism, just like other Indians who just demand it all or nothing.  If these companies go under water after 7 years it is their problem, not government's or tax payers. Someone else will rebid at that time and citizens will have enjoyed the ride for 7 years in the mean time.",Positive,0.8091,general_unspecified,General/Industry,Public Transport Economics & Government Operating Models
0,Topic 0: buses / like / india,3,c_0e1094360c0488669630,0.9779813885688782,free buses=people using more buses=less traffic=less pollution. lot of European countries have free public transportation. people genuinely lack brain here.,Positive,0.6486,general_unspecified,General/Industry,Public Transport Economics & Government Operating Models
0,Topic 0: buses / like / india,4,c_01f1026ed9ca94489ad3,0.9766421914100648,"Problem is also traffic. If only we had smooth running traffic, we could save so much money. But nobody is ready to learn traffic rules and everybody drives like a complete maniac and the road infrastructure is pathetic which further worsens the problem.",Negative,-0.9032,general_unspecified,General/Industry,Public Transport Economics & Government Operating Models
0,Topic 0: buses / like / india,5,c_0fad50f1ce140664ad5f,0.9751296043395996,"7 yrs from now we will not have li-ion batteries, we will probably be using Na-ion batteries that have much longer life and much lower cost. Though, they will weight 1.5 times more for same power.",Negative,-0.296,pre_adoption,General/Industry,Public Transport Economics & Government Operating Models
1,Topic 1: hai / bus / ki,1,c_fb1100afdebffcfa4c90,0.9927293062210084,"Ye sari companies (electra , jsw ) ko ban krna chahiye india me , jab hum R &D ko support hee nhi krenge to wo apne aap to nhi  bedhega ,  phir hum log hee social media pe aake bolenge ki india ko R&D pathetic hai. Tata ne battery khud develop kia hai harrier ke lie , kya wo kahi se v byd se v pichhe lag rha hai aapko ?! Nhi , aur wo to off roader bna ke ad kia hai us gadi ko unhone. We still have time , govt ko jsw pe rok lgana chahiye nhi to wo v din v jyda dur nhi jab hum apni automobile industry ke lie ro rahenge honge jaisa ki aaj mobile phone wale industry me rote hai. Japanese log apne country ke product ke lie hamesha incline hote hai lekin hmara aise kuchh nhi hai , 2kw ki battery kisi Chinese me extra mil gya to use turant hee le lenge.",Negative,-0.9493,pre_adoption,General/Industry,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,Topic 1: hai / bus / ki,2,c_f92d7896fa0ca24d3fec,0.9910160899162292,"Indian govt should have started manufacturing eBus  instead of all this drama.

Rental model is stupidity ... electric buses cost 1.5Cr BECAUSE battery is imported

By operating buses on rent it will never know the charging, range and passenger congestion data.

Govt should have bought 1 bus every month because the savings cost of even 1 eBus is MASSIVE.

The operating cost of 1 diesel bus fuel+service is almost 50L to 1cr in 1yr

By operating the bus on rent the govt have no major benefit but staff reduction happens which is not good.",Negative,-0.566,procurement,General/Industry,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,Topic 1: hai / bus / ki,3,c_2e9b7e412b733e753601,0.9889292120933532,My pickup truck battery is 131 usable KW😂. These bus needs minimum around  250 to 300 kw Usable batteries. Electric drives are more suitable for stop n go city traffic. They recoup energy when they break called regenerative braking. Technically no need to change breaks ever. Electric vehicles are best for cities and metropolises. Current batteries are lasting 10 years with real time max degradation of 15%. Check byd details. Bhai get your facts together plz.,Negative,-0.1189,pre_adoption,General/Industry,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,Topic 1: hai / bus / ki,4,c_41482aa6f693fb3c55f8,0.988246500492096,"Extremely disappointed with @nuegoindia. I was standing at the pickup point mentioned in my booking, but instead of guiding me properly, the bus staff refused to help. When I called and requested them to wait for just a minute while I reached the exact spot, they simply hung up the call without even listening to what I was saying.
This kind of behavior is completely unacceptable. Passengers rely on your staff for guidance during boarding, not to be ignored or disconnected. If this is the level of customer service NueGo provides, it seriously needs improvement. I hope someone from your team looks into this and ensures other passengers don't face the same experience. @nuegoindia",Positive,0.6068,post_use,NueGo,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
1,Topic 1: hai / bus / ki,5,c_56fd4f5a6dfbf0b563c2,0.9861049056053162,"Loved the whole analysis. Brilliant strategies and financial models but there will be only 1 mega winner and 2 beneficiaries..... Environment will be the winner with pollution reducing drstically; while public transportation will pick up in a big way because all these EV buses are air-conditioned hence more comfortable while government will finally be able to plug all the problems associated with Public transportation system like.... diesel pilferage, high maintenance cost, pensions to bus drivers, overheads and no headache of unions and strike.",Positive,0.933,post_use,General/Industry,"Indian EV-Bus Adoption: R&D, Operations & User Experience"
