Evidence_ID,Modality,Finding,Metric,Interpretation,Business_Implication,Recommended_Action,Source_File,Evidence_Strength,Report_Section,Suggested_Slide
E01,Market/Tender,"New-age players dominated the cited 10,900-bus PM E-DRIVE tender.","PMI: 5,210; EKA: 3,485; Olectra: 1,785; Anthony Travels consortium: 420. Tata, JBM and VECV: 0.",The challengers demonstrated stronger commercial competitiveness in this tender round.,Legacy OEMs cannot rely only on engineering reputation or service depth.,"Create selective, route-level GCC bidding models with financing and operating partners.",ev_bus_tenders_CORRECTED.csv; EV_Bus_Tender_Competitor_User_Analysis.docx,Strong tender evidence; verify latest contract status,Market disruption,Tender disruption
E02,Market/Tender,Tender success is not the same as product superiority.,"GCC bids combine financing, ₹/km pricing, charging, operations, maintenance, availability and payment risk.",Tender allocation primarily measures commercial structure and risk appetite after technical qualification.,"The OEM strategy must optimise lifetime contract economics, not merely bus specifications.",Develop a total-cost and risk-pricing engine for every tender.,EV_Bus_Tender_Competitor_User_Analysis.docx,Strong strategic interpretation,Tender model,What GCC really tests
E03,Competitor Research,"Legacy OEMs retain advantages in service networks, spares, operating proof and institutional trust.",Tata is the working benchmark for publicly visible operating proof; legacy OEMs have broader commercial-vehicle support ecosystems.,New-age tender success has not eliminated the value of reliability and lifetime support.,Trust and uptime can become a commercial differentiator rather than merely a brand claim.,"Bundle uptime guarantees, repair-TAT SLAs and depot-parts availability into the GCC proposition.",EV_Bus_Tender_Competitor_User_Analysis.docx,Working public evidence; final citations required,Competitive advantage,Tender wins versus operating proof
E04,Text/Sentiment,Overall EV-bus consumer discourse is more positive than negative.,N=438; Positive 51.4%; Neutral 29.2%; Negative 19.4%; mean VADER compound 0.179.,"The market is not broadly resistant to EV buses, but aggregate positivity hides lifecycle-specific problems.",Communication should build on existing acceptance while addressing concrete operational concerns.,"Avoid generic EV education alone; add proof of reliability, comfort and service performance.",sentiment_overall.csv,Exploratory; VADER and mixed-provenance limitations,Text analytics,Overall sentiment
E05,Text/Lifecycle,Negative sentiment increases materially after actual use.,Post-use negative: 34.7% (17/49); Pre-adoption negative: 22.9% (11/48).,"The largest perception gap emerges during operational delivery, not only before adoption.","Execution quality, service recovery and uptime are central to long-term EV-bus adoption.","Prioritise predictive maintenance, AC uptime, route reliability, refund resolution and customer support.",sentiment_by_lifecycle.csv,Directionally useful; lifecycle labels partly automated,Lifecycle sentiment,Expectation-to-experience gap
E06,Methodology,Lifecycle classification is reliable at high and medium confidence.,High-confidence agreement: 92.0%; medium: 94.1%; low: 19.7% in a risk-enriched 120-row review.,The main failure was conservative under-classification into general/unspecified.,Specific lifecycle findings should rely on reviewed or higher-confidence labels.,Retain low-confidence unreviewed rows as general/unspecified.,lifecycle_validation_round1_report.md,"Validated, but sample intentionally risk-enriched",Methodological rigor,Validation
E07,Text/OEM Comparison,Legacy OEM discussion is more positive than new-age OEM discussion in the available sample.,"Legacy: N=21, mean compound 0.359, negative 9.5%; New-age: N=27, mean 0.264, negative 14.8%.","The sample suggests a possible legacy trust advantage, but it does not prove superior product performance.",Legacy OEMs should translate trust into measurable uptime and contract-delivery guarantees.,"Use reliability evidence in tenders and communication, while avoiding unsupported superiority claims.",sentiment_by_oem_group.csv,Exploratory; small OEM samples,OEM perception,Trust signal
E08,Text/Operator,Operator-service complaints are a major source of negative experience.,NueGo: N=38; negative 36.8%; mean compound 0.068.,"Passenger dissatisfaction often reflects booking, pickup, refunds, staff behaviour and customer support—not necessarily bus manufacturing.","OEM, operator and passenger-service accountability must be separated.",Introduce joint OEM–operator service dashboards and escalation SLAs.,sentiment_by_entity.csv,Useful operator evidence; not an OEM-quality measure,Operator experience,Who owns the experience?
E09,Text/Topic Model,"Battery technology, swapping and lifecycle economics form a distinct consumer discussion theme.",Topic 2 prevalence: 10.5%; mean sentiment 0.143; negative 16.3%.,"Consumers discuss chemistry, degradation, replacement cost, swapping and alternative fuels—not just headline range.",Battery-risk communication and contract design need greater specificity.,"Communicate warranties, degradation assumptions, replacement ownership and end-of-life plans.",topic_model_summary.csv,Exploratory LDA topic; moderate coherence,Consumer themes,Battery-risk debate
E10,Text/Topic Model,"Domestic manufacturing, R&D and dependence on Chinese components form the largest discovered topic.",Topic 4 prevalence: 15.1%; positive 56.5%; negative 21.0%.,Localisation is simultaneously a source of optimism and geopolitical concern.,A credible localisation roadmap may strengthen both institutional and consumer trust.,"Disclose localisation milestones, battery sourcing and domestic engineering ownership.",topic_model_summary.csv,Exploratory; topic overlaps with other themes,Supply-chain perception,Make-in-India credibility
E11,Text/Topic Model,"New-age OEM execution, reliability and service risk is a recurring theme.",Topic 6 prevalence: 10.2%; negative 19.0%; new-age OEMs are the dominant OEM group.,"Tender-winning scale creates questions about fleet uptime, delivery, battery replacement and service expansion.",Scaling the order book without scaling service capability could damage trust.,"Tie tender growth to depot readiness, technician capacity, parts fill rates and phased deployment gates.",topic_sentiment_lifecycle_insights.csv,"Exploratory association, not causal proof",Execution risk,Can challengers deliver at scale?
E12,Data Limitation,The text corpus is exploratory rather than representative.,548 retained rows; YouTube dominates the source mix; OEM-specific samples are small; URL/date coverage is incomplete.,"Percentages should be treated as directional signals, not market-wide estimates.","Final strategic recommendations should triangulate text evidence with image, video, tender and operational data.",Use RAG to expose source context and clearly tag evidence confidence.,preprocessing_report.md,Known limitation,Limitations,Methodology and caveats
