video_file,brand,frame_path,frame_index,timestamp_s,is_shot_cut,pixel_diff,width,height,brightness,contrast,saturation,sharpness,warm_cool_bias,colourfulness,edge_density,visual_balance,figure_ground_sep,ocr_text,ocr_char_len,nf_neg,nf_neu,nf_pos,nf_compound,nf_label,blip_caption,obj_bus,obj_person,obj_truck,obj_car,obj_all,hl_bus_exterior,hl_bus_exterior_flag,hl_bus_interior,hl_bus_interior_flag,hl_charging_infra,hl_charging_infra_flag,hl_fleet_scale,hl_fleet_scale_flag,hl_govt_ceremony,hl_govt_ceremony_flag,hl_tech_showcase,hl_tech_showcase_flag,hl_passenger_comfort,hl_passenger_comfort_flag,hl_operational_proof,hl_operational_proof_flag,hl_brand_marketing,hl_brand_marketing_flag,theme_technology,theme_technology_flag,theme_comfort,theme_comfort_flag,theme_sustainability,theme_sustainability_flag,theme_reliability,theme_reliability_flag,theme_safety,theme_safety_flag,pxy_trust,pxy_modernity,pxy_comfort,pxy_sustainability,pxy_operational_scale,pxy_visual_production,hl_setting,hl_setting_conf,meta_video_file,meta_brand,meta_fps,meta_total_frames,meta_width,meta_height,meta_resolution,meta_duration_seconds,meta_duration_minutes,meta_file_size_mb,meta_aspect_ratio
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000000.jpg,0,0.0,False,0.0,640,360,60.61,54.79,168.2,2079.67,-0.363,82.97,0.1608,0.863,0.695,,0,,,,,no_text,a truck covered with christmas lights is seen in this image,0,0,0,0,{},0.241,False,0.013,False,0.027,False,0.091,False,0.444,False,0.914,True,0.713,True,0.995,True,0.988,True,0.964,True,0.984,True,0.994,True,0.951,True,0.976,True,76.9,94.0,12.7,36.4,53.7,79.0,urban_road,0.429,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000024.jpg,1,1.0,False,34.312,640,360,75.83,50.86,130.0,1173.48,-0.25,68.83,0.162,0.95,0.654,,0,,,,,no_text,a large truck is lit up with blue lights,0,0,0,0,{},0.654,True,0.075,False,0.06,False,0.077,False,0.088,False,0.782,True,0.738,True,0.995,True,0.986,True,0.82,True,0.99,True,0.978,True,0.949,True,0.736,True,76.9,78.4,29.0,68.4,71.8,32.1,govt_ceremony,0.453,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000048.jpg,2,2.0,True,109.001,640,360,184.88,76.58,26.21,122.26,0.009,12.13,0.0097,0.884,0.486,,0,,,,,no_text,a video screen showing a video of a plane flying over the city,0,0,0,0,{},0.138,False,0.008,False,0.128,False,0.008,False,0.02,False,0.687,True,0.094,False,0.754,True,0.944,True,0.256,False,0.214,False,0.24,False,0.524,True,0.099,False,35.6,84.2,56.3,30.3,86.2,53.1,studio_launch,0.55,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000072.jpg,3,3.0,False,24.381,640,360,163.07,73.41,39.01,353.15,0.028,28.59,0.0372,0.902,0.728,,0,,,,,no_text,a tv screen with the words ' truck ',0,0,0,0,{},0.219,False,0.038,False,0.148,False,0.117,False,0.082,False,0.531,True,0.312,False,0.979,True,0.994,True,0.678,True,0.992,True,0.656,True,0.641,True,0.601,True,47.2,34.3,38.1,46.6,90.3,89.3,studio_launch,0.816,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000096.jpg,4,4.0,True,92.984,640,360,70.52,33.85,27.38,75.27,0.026,16.68,0.0258,0.899,0.762,(STTRUCKS/,10,0.0,1.0,0.0,0.0,neutral,a truck logo on a white background,0,0,0,0,{},0.027,False,0.002,False,0.324,False,0.065,False,0.095,False,0.579,True,0.063,False,0.399,False,0.959,True,0.171,False,0.897,True,0.294,False,0.847,True,0.13,False,62.5,6.2,43.4,30.1,83.5,90.8,studio_launch,0.409,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000120.jpg,5,5.0,True,83.311,640,360,143.92,61.01,70.86,475.64,-0.006,51.89,0.0775,0.804,0.635,,0,,,,,no_text,a bus is parked in a flooded area,0,7,0,0,"{""person"": 7}",0.973,True,0.975,True,0.12,False,0.88,True,0.487,False,0.121,False,0.956,True,1.0,True,1.0,True,0.947,True,1.0,True,0.989,True,0.995,True,0.975,True,97.2,84.4,53.5,99.2,71.2,57.8,depot_yard,0.428,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000144.jpg,6,6.0,True,143.979,640,360,0.14,2.66,2.14,10.16,0.536,4.81,0.0015,0.0,0.0,,0,,,,,no_text,a black background with a red line and a white line,0,0,0,0,{},0.007,False,0.057,False,0.242,False,0.035,False,0.302,False,0.329,False,0.074,False,0.067,False,0.681,True,0.607,True,0.205,False,0.66,True,0.095,False,0.064,False,87.4,1.8,19.2,23.2,22.5,76.1,govt_ceremony,0.355,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000168.jpg,7,7.0,False,0.118,640,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0,,,,,no_text,a black background with a white and red flower,0,0,0,0,{},0.007,False,0.057,False,0.242,False,0.035,False,0.302,False,0.329,False,0.074,False,0.067,False,0.681,True,0.607,True,0.205,False,0.66,True,0.095,False,0.064,False,87.4,1.8,19.2,23.2,22.5,76.1,govt_ceremony,0.355,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000192.jpg,8,8.0,True,65.867,640,360,65.74,62.86,158.38,347.22,0.239,50.18,0.0561,0.888,0.663,,0,,,,,no_text,a train with a lot of windows and lights,0,0,0,0,{},0.219,False,0.997,True,0.004,False,0.488,False,0.02,False,0.001,False,0.108,False,1.0,True,0.999,True,0.334,False,0.997,True,0.739,True,0.896,True,0.329,False,89.4,81.0,87.0,96.1,55.4,58.7,depot_yard,0.472,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000216.jpg,9,9.0,False,51.132,640,360,42.5,22.74,110.59,100.94,0.05,25.72,0.0259,0.922,0.685,,0,,,,,no_text,a bus is parked in a garage with a green wall behind it,0,0,2,0,"{""truck"": 2}",0.889,True,0.847,True,0.136,False,0.601,True,0.157,False,0.231,False,0.519,True,1.0,True,1.0,True,0.797,True,0.993,True,0.954,True,0.888,True,0.833,True,79.9,95.4,35.6,98.6,74.3,61.0,depot_yard,0.54,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000240.jpg,10,10.0,True,80.792,640,360,115.5,71.24,73.33,803.29,-0.007,49.56,0.0801,0.911,0.52,,0,,,,,no_text,a bus is parked in a room with a wooden floor,1,0,0,0,"{""bus"": 1}",0.993,True,0.993,True,0.203,False,0.993,True,0.95,True,0.556,True,0.84,True,1.0,True,1.0,True,0.994,True,0.999,True,0.997,True,0.933,True,0.971,True,92.3,95.1,58.7,99.8,92.0,57.9,depot_yard,0.494,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000264.jpg,11,11.0,True,84.302,640,360,131.19,60.86,50.04,727.19,-0.015,37.19,0.1177,0.932,0.574,,0,,,,,no_text,a bus is parked in a show room,3,5,0,0,"{""bus"": 3, ""person"": 5}",0.911,True,0.954,True,0.054,False,0.758,True,0.621,True,0.663,True,0.96,True,0.977,True,0.998,True,0.819,True,0.992,True,0.964,True,0.9,True,0.778,True,76.5,91.0,22.0,97.9,42.5,88.5,studio_launch,0.845,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
eka.mp4,EKA,/content/drive/MyDrive/Phase_3_Video_Analytics/Video_Analytics/outputs/frames/eka/frame_000288.jpg,12,12.0,False,64.617,640,360,95.73,47.32,60.54,532.96,-0.004,35.24,0.0902,0.934,0.593,,0,,,,,no_text,a bus is parked in a show room,1,7,0,0,"{""person"": 7, ""bus"": 1}",0.985,True,0.956,True,0.566,True,0.921,True,0.241,False,0.524,True,0.986,True,0.999,True,0.999,True,0.536,True,1.0,True,0.99,True,0.935,True,0.504,True,59.7,98.4,15.6,99.2,84.2,83.5,urban_road,0.482,eka.mp4,EKA,24.0,9259,640,360,640x360,385.79,6.43,28.62,1.778
